Month,Company,Country,Region,Segment,Subsegment,IsPublic,Ticker,Users_M,NewUsers_K,TPV_USD_B,TakeRate_pct,Revenue_USD_M,ARPU_USD,Churn_pct,Marketing_Spend_USD_M,CAC_USD,CAC_Total_USD_M,Close_USD,Private_Valuation_USD_B
2025-01,Visa,USA,North America,Payments Network,Card Network,True,V,297.4,65.0,563.56,0.109,614.28,5.8,0.64,22.94,19.46,1.26,293.27,
2025-01,Mastercard,USA,North America,Payments Network,Card Network,True,MA,146.0,373.0,751.3,0.087,653.63,4.55,0.97,65.35,7.24,2.7,429.67,
2025-01,PayPal,USA,North America,Digital Wallet,Payments & Wallet,True,PYPL,83.2,494.0,144.71,0.244,353.09,4.1,1.3,95.3,2.84,1.4,70.14,
2025-01,Stripe,USA / Ireland,North America / Europe,Payments Infrastructure,Processor / PSP,False,,,,235.09,0.117,275.06,5.26,2.39,116.05,7.48,,,112.3
2025-01,Adyen,Netherlands,Europe,Payments Infrastructure,Processor / Acquirer,True,ADYEN,,,141.02,0.168,236.91,6.76,0.57,61.95,2.62,,1531.61,
2025-01,Ant Group (Alipay),China,Asia,Super App / Wallet,Payments & Ecosystem,False,,542.6,777.0,680.32,0.173,1176.95,2.94,1.44,67.87,15.95,12.39,,131.1
2025-01,Nubank,Brazil,Latin America,Neobank,Retail Banking,True,NU,134.9,341.0,138.54,0.479,663.61,7.69,0.49,27.54,6.88,2.35,15.94,
2025-01,Revolut,UK,Europe,Neobank / Super App,Retail & Business,False,,76.8,790.0,148.2,0.384,569.09,6.71,0.61,97.25,15.9,12.56,,36.1
2025-01,Klarna,Sweden,Europe,BNPL,Pay-in-4 / Financing,False,,41.5,105.0,55.26,1.815,1002.97,4.12,1.9,93.7,8.45,0.89,,
2025-01,Wise,UK,Europe,Cross-border Payments,Remittances & FX,True,WISE.L,36.8,293.0,36.69,0.568,208.4,3.99,0.44,40.76,15.13,4.43,9.91,
2025-01,Coinbase,USA,North America,Digital Assets,Exchange & Custody,True,COIN,111.4,420.0,149.27,0.171,255.25,6.72,1.87,92.49,11.41,4.79,188.08,
2025-01,Block (Cash App),USA,North America,Payments & Wallet,Merchant + P2P,True,SQ,43.1,431.0,111.19,0.277,308.0,4.13,1.7,41.15,18.34,7.9,75.76,
2025-02,Visa,USA,North America,Payments Network,Card Network,True,V,190.0,703.0,521.36,0.11,573.5,4.69,0.47,38.32,16.47,11.58,284.48,
2025-02,Mastercard,USA,North America,Payments Network,Card Network,True,MA,290.6,132.0,495.18,0.102,505.08,6.42,2.27,41.57,6.1,0.81,434.79,
2025-02,PayPal,USA,North America,Digital Wallet,Payments & Wallet,True,PYPL,141.3,303.0,128.02,0.329,421.19,3.02,1.42,53.0,18.97,5.75,69.17,
2025-02,Stripe,USA / Ireland,North America / Europe,Payments Infrastructure,Processor / PSP,False,,,,185.89,0.152,282.55,7.81,1.1,116.75,6.53,,,118.5
2025-02,Adyen,Netherlands,Europe,Payments Infrastructure,Processor / Acquirer,True,ADYEN,,,218.58,0.13,284.15,6.14,0.38,75.1,11.05,,1584.77,
2025-02,Ant Group (Alipay),China,Asia,Super App / Wallet,Payments & Ecosystem,False,,562.7,231.0,334.47,0.193,645.53,2.72,0.62,61.29,14.1,3.26,,179.1
2025-02,Nubank,Brazil,Latin America,Neobank,Retail Banking,True,NU,82.4,676.0,126.17,0.518,653.56,5.47,1.69,77.86,7.77,5.25,15.58,
